Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Devin Booker\bookede01,23,62,62,36.1,8.8,18.0,.487,2.0,5.6,.360,6.7,12.4,.544,.543,6.5,7.1,.916,0.4,3.7,4.2,6.6,0.7,0.3,3.9,3.0,26.1
2,Kelly Oubre\oubreke01,24,56,55,34.5,6.7,14.8,.452,1.9,5.5,.352,4.7,9.3,.511,.517,3.4,4.4,.780,1.2,5.3,6.4,1.5,1.3,0.7,1.5,3.4,18.7
3,Deandre Ayton\aytonde01,21,30,25,33.2,8.5,15.5,.548,0.0,0.1,.000,8.5,15.4,.552,.548,2.0,2.6,.769,4.1,7.9,12.0,1.9,0.7,1.7,2.4,3.2,19.0
4,Ricky Rubio\rubiori01,29,57,57,31.6,4.4,10.7,.412,1.2,3.3,.351,3.3,7.4,.440,.466,3.1,3.6,.853,0.7,3.9,4.6,8.9,1.5,0.2,2.7,2.5,13.1
5,Mikal Bridges\bridgmi01,23,65,24,27.3,3.2,6.3,.516,0.9,2.4,.352,2.4,3.8,.621,.585,1.4,1.6,.848,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,8.7
6,Dario Šarić\saricda01,25,58,50,24.8,3.7,8.1,.462,1.3,3.7,.341,2.5,4.4,.563,.539,1.4,1.6,.832,1.5,4.4,5.9,1.9,0.6,0.3,1.2,2.3,10.1
7,Frank Kaminsky\kaminfr01,26,32,13,22.4,4.0,8.7,.455,1.2,3.5,.348,2.8,5.2,.527,.525,1.8,2.8,.670,0.9,4.0,4.9,2.2,0.4,0.3,1.0,2.2,11.0
8,Aron Baynes\baynear01,33,42,28,22.2,4.4,9.1,.480,1.4,4.0,.351,3.0,5.1,.582,.558,1.3,1.8,.747,1.7,4.0,5.6,1.6,0.2,0.5,1.2,3.4,11.5
9,Cameron Johnson\johnsca02,23,49,1,20.3,2.8,6.6,.418,1.9,4.7,.397,0.9,2.0,.469,.558,0.7,0.9,.761,0.8,2.1,2.9,1.1,0.6,0.3,0.6,1.5,8.1
10,Tyler Johnson\johnsty01,27,31,3,16.6,2.1,5.5,.380,0.8,2.7,.289,1.3,2.8,.466,.450,0.8,1.0,.750,0.3,1.4,1.7,1.6,0.4,0.3,0.8,1.4,5.7
11,Jevon Carter\carteje01,24,50,2,15.1,1.6,4.1,.400,0.9,2.3,.393,0.7,1.8,.409,.512,0.4,0.5,.840,0.5,1.5,2.0,1.3,0.8,0.3,0.6,1.5,4.6
12,Elie Okobo\okoboel01,22,54,3,13.1,1.3,3.4,.398,0.5,1.3,.352,0.9,2.0,.427,.467,0.9,1.2,.687,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0
13,Ty Jerome\jeromty01,22,28,0,11.3,1.3,3.8,.349,0.5,1.7,.277,0.9,2.1,.407,.410,0.4,0.5,.786,0.2,1.3,1.5,1.5,0.5,0.1,0.6,1.0,3.5
14,Jonah Bolden\boldejo01,24,3,0,11.0,0.7,2.7,.250,0.0,1.0,.000,0.7,1.7,.400,.250,0.7,0.7,1.000,1.0,1.7,2.7,0.0,0.7,0.7,0.0,2.0,2.0
15,Cheick Diallo\diallch01,23,44,2,10.6,2.0,3.1,.650,0.0,0.0,.500,2.0,3.1,.652,.653,0.7,0.8,.865,0.6,2.3,2.9,0.5,0.2,0.3,0.7,1.2,4.8
16,Jalen Lecque\lecquja01,19,4,0,6.5,1.0,2.5,.400,0.0,1.0,.000,1.0,1.5,.667,.400,0.5,0.5,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.5,2.5
17,Tariq Owens\owensta01,24,3,0,5.0,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.7,0.7,1.000,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3
18,Jared Harper\harpeja01,22,3,0,2.7,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
