Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kawhi Leonard\leonaka01,28,51,51,32.2,9.3,19.9,.469,2.1,5.7,.366,7.2,14.2,.510,.521,6.1,6.9,.889,1.0,6.3,7.3,5.0,1.8,0.6,2.7,1.9,26.9
2,Lou Williams\willilo02,33,60,8,29.3,6.1,14.7,.416,1.8,4.9,.363,4.3,9.8,.442,.476,4.6,5.4,.863,0.5,2.6,3.1,5.7,0.7,0.2,2.9,1.3,18.7
3,Paul George\georgpa01,29,42,42,29.1,6.9,16.0,.432,3.2,7.9,.399,3.8,8.1,.463,.530,3.9,4.5,.882,0.5,5.2,5.7,3.9,1.3,0.5,2.7,2.4,21.0
4,Marcus Morris\morrima03,30,12,12,28.3,3.7,9.5,.386,1.4,5.0,.283,2.3,4.5,.500,.461,0.8,0.9,.818,0.6,3.4,4.0,1.5,0.7,0.8,1.3,2.8,9.5
5,Montrezl Harrell\harremo01,26,63,2,27.8,7.5,12.9,.580,0.0,0.3,.000,7.5,12.6,.593,.580,3.7,5.6,.658,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6
6,Landry Shamet\shamela01,22,47,27,27.5,3.1,7.5,.416,2.2,5.7,.392,0.9,1.8,.494,.566,1.2,1.3,.905,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.8,9.7
7,Patrick Beverley\beverpa01,31,48,48,27.1,2.9,6.8,.428,1.6,4.1,.379,1.3,2.6,.504,.543,0.6,0.9,.659,1.2,4.2,5.4,3.7,1.1,0.5,1.3,3.1,7.9
8,Maurice Harkless\harklma01,26,50,38,22.8,2.2,4.3,.516,0.5,1.5,.370,1.7,2.9,.590,.578,0.5,0.8,.571,0.9,3.1,4.0,1.0,1.0,0.6,0.9,2.4,5.5
9,JaMychal Green\greenja01,29,55,0,20.5,2.3,5.5,.414,1.3,3.7,.363,0.9,1.8,.520,.536,0.6,0.8,.727,1.4,5.0,6.3,0.8,0.5,0.4,0.8,2.7,6.5
10,Reggie Jackson\jacksre01,29,9,1,19.4,3.4,6.6,.525,1.6,3.4,.452,1.9,3.1,.607,.644,1.0,1.1,.900,0.4,2.4,2.9,3.2,0.2,0.4,1.9,2.1,9.4
11,Ivica Zubac\zubaciv01,22,64,62,18.1,3.2,5.3,.601,0.0,0.0,.000,3.2,5.2,.605,.601,1.7,2.2,.759,2.6,4.6,7.2,1.1,0.2,0.9,0.8,2.3,8.0
12,Rodney McGruder\mcgruro01,28,50,3,15.0,1.2,3.1,.391,0.4,1.6,.278,0.8,1.5,.506,.462,0.3,0.6,.536,0.5,2.0,2.6,0.6,0.5,0.2,0.4,1.3,3.2
13,Patrick Patterson\pattepa01,30,51,18,11.9,1.5,3.7,.404,1.1,2.8,.387,0.4,0.9,.457,.551,0.5,0.7,.794,0.6,1.8,2.4,0.6,0.1,0.1,0.4,0.8,4.6
14,Jerome Robinson\robinje01,22,42,1,11.3,1.1,3.2,.338,0.5,1.6,.284,0.6,1.6,.391,.408,0.3,0.5,.579,0.1,1.3,1.4,1.1,0.3,0.2,0.6,1.3,2.9
15,Derrick Walton\waltode01,24,23,1,9.7,0.7,1.6,.472,0.4,0.9,.429,0.3,0.7,.533,.597,0.3,0.4,.778,0.1,0.6,0.7,1.0,0.2,0.0,0.2,0.8,2.2
16,Terance Mann\mannte01,23,35,6,7.7,0.6,1.5,.407,0.1,0.3,.250,0.5,1.2,.452,.435,0.3,0.3,.750,0.1,0.8,0.9,1.1,0.2,0.1,0.4,1.0,1.6
17,Amir Coffey\coffeam01,22,13,0,7.5,1.0,2.5,.394,0.1,0.5,.143,0.9,2.0,.462,.409,0.1,0.2,.333,0.3,0.8,1.1,0.7,0.1,0.1,0.2,0.9,2.2
18,Mfiondu Kabengele\kabenmf01,22,12,0,5.3,1.2,2.7,.438,0.8,1.7,.450,0.4,1.0,.417,.578,0.4,0.4,1.000,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5
19,Johnathan Motley\motlejo01,24,13,0,3.2,0.8,1.2,.733,0.1,0.1,1.000,0.8,1.1,.714,.767,0.4,0.5,.714,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2
